,FAA,name,state,city
4892,1JY2,Mahogany Mtn. Airport,OR,Silver Lake
4893,US-1854,Tire Shop / Orange Lane Airstrip,NV,Silver Springs
4894,8S3,Santiam Junction State Airport,OR,Sisters
4895,US-3521,Bentalit Lodge Airstrip,AK,Skwentna
4896,9K5,Slater Memorial Airport,MO,Slater
4897,31VA,Aberdeen Field,VA,Smithfield
4898,38N,Smyrna Airport,DE,Smyrna
4899,34CN,Bonanza Hills Airport,CA,Snelling
4900,4O1,Snyder Airport,OK,Snyder
4901,3CA9,Clark Ranch Airport,CA,Soledad
4902,KOLG,Solon Springs Municipal Airport,WI,Solon Springs
4903,68KY,Lee's Airpark,KY,Somerset
4904,54AZ,Somerton Airport,AZ,Somerton
4905,4PN7,Merritt Field,PA,Sonestown
4906,0XS2,John Fields Ranch Airport,TX,Sonora
4907,US-4356,Rattlesnake Bend Airport,TX,Sour Lake
4908,WV12,Mallory Airport,WV,South Charleston
4909,NY48,Grace's Landing Airport,NY,South Kortright
4910,6II6,David Beiswanger Ultralightport,IN,South Milford
4911,8GK,Gallatin County Airport,KY,Sparta
4912,91NY,Manitou Field,NY,Spencerport
4913,58IN,Hilltop Airport,IN,Spencerville
4914,ID22,Treeport Airport,ID,Spirit Lake
4915,1H9,Nest of Eagles Airport,WI,Spooner
4916,2WI4,Plows & Props Airport,WI,Springfield
4917,KD42,Springfield Municipal Airport,MN,Springfield
4918,52S,St Ignatius Airport,MT,St Ignatius
4919,KNUI,Naval Outlying Landing Field Webster,MD,St Inigoes
4920,64MO,Booze Island Airport,MO,St Joseph
4921,55AZ,Potters Field,AZ,Stanfield
4922,KS64,Stanford Airport/Biggerstaff Field,MT,Stanford
4923,KI50,Stanton Airport,KY,Stanton
4924,15WA,Sunset Airport,WA,Stanwood
4925,IS33,Willhoit Airport,IL,Staunton
4926,1CD4,Eagle Soaring Airport,CO,Steamboat Springs
4927,88AK,Dutch Landing Strip,AK,Sterling
4928,AK01,Alaska Airpark,AK,Sterling
4929,US-2858,Birdie Haven Airport,AK,Sterling
4930,US-2864,Alaska Natural Gas Pipeline Airport,AK,Sterling
4931,US-2865,Atkins Road Airport,AK,Sterling
4932,K7A6,Stevenson Airport,AL,Stevenson
4933,19WA,Key Way Airport,WA,Stevenson
4934,98MT,Rosemont Airport,MT,Stevensville
4935,3GA0,Grant Airport,GA,Stockbridge
4936,0TE7,LBJ Ranch Airport,TX,Stonewall
4937,8MA4,Crow Island Airport (Pvt),MA,Stow
4938,KSUD,Stroud Municipal Airport,OK,Stroud
4939,64FA,Naked Lady Ranch Airport,FL,Stuart
4940,KTWT,Sturgis Municipal Airport,KY,Sturgis
4941,K49B,Sturgis Municipal Airport,SD,Sturgis
4942,C89,Sylvania Airport,WI,Sturtevant
4943,GA87,High Valley Airpark,GA,Suches
4944,KF30,Sulphur Municipal Airport,OK,Sulphur
4945,48AK,Castle Mountain Airstrip,AK,Sutton/Chickaloon
4946,US-0454,Pumpkin Patch Field,AR,Tafton
4947,51AK,Birch Creek Landing,AK,Talkeetna
4948,AA09,Busch Creek Airport,AK,Talkeetna
4949,AK61,Stephan Lake Lodge Airport,AK,Talkeetna
4950,FA25,Black Creek Pass Airport,FL,Tallahasse
4951,FL52,Angel's Field,FL,Tallahassee
4952,53IA,Tama Airport,IA,Tama
4953,7AK0,Art Z Airport,AK,Tanana
4954,KETC,Tarboro Edgecombe Airport,NC,Tarboro
4955,KK57,Gould Peterson Municipal Airport,MO,Tarkio
4956,41XS,Macho Grande Airport,TX,Taylor
4957,4NC3,Taylorsville Airport,NC,Taylorsville
4958,K3A2,New Tazewell Municipal Airport,TN,Tazewell
4959,K8U6,Terry Airport,MT,Terry
4960,KK49,Texhoma Municipal Airport,OK,Texhoma
4961,OK31,Whittington Ranch Airport,OK,Thackerville
4962,02OR,Rowena Dell Airport,OR,The Dalles
4963,6OR1,Pointers Airport,OR,The Dalles
4964,6OR2,Chenoweth Airpark,OR,The Dalles
4965,KTIF,Thomas County Airport,NE,Thedford
4966,KHSG,Hot Springs County Airport,WY,Thermopolis
4967,K1O4,Thomas Municipal Airport,OK,Thomas
4968,7Y2,Thompsonville Airport,MI,Thompsonville
4969,40D,Three Lakes Municipal Airport,WI,Three Lakes
4970,US-1640,Tunnel Meadows Airstrip,CA,Three Rivers
4971,0PN6,Memmi Airport,PA,Three Springs
4972,K8C4,Mathews Memorial Airport,IA,Tipton
4973,K0M2,Reelfoot Lake Airport,TN,Tiptonville
4974,K6G1,Titusville Airport,PA,Titusville
4975,7TA0,Field's Field,TX,Tomball
4976,02WN,Fowler Field,WA,Tonasket
4977,KW01,Tonasket Municipal Airport,WA,Tonasket
4978,KTNX,Tonopah Test Range Airport,NV,Tonopah
4979,1G8,Eddie Dew Memorial Airpark,OH,Toronto
4980,74N,Bendigo Airport,PA,Tower City
4981,8U9,Canyon Ferry Airport,MT,Townsend
4982,KTKC,Tracy Municipal Airport,MN,Tracy
4983,KS17,Twin Lakes Airport,SC,Trenton
4984,XA52,Ehni Airport,TX,Trinity
4985,66WA,Trout Lake Airport,WA,Trout Lake
4986,02MO,Troy Airpark,MO,Troy
4987,37I,Troy Skypark Airport,OH,Troy
4988,K57S,Troy Airport,MT,Troy
4989,US-9330,Weona Airport,AR,Trumann
4990,US-0257,Spaceport America,NM,Truth or Consequences
4991,KI06,City of Tulia-Swisher County Municipal Airport,TX,Tulia
4992,US-0356,Tupelo Field,AR,Tupelo
4993,K9U0,Turner Airport,MT,Turner
4994,K96,Tuscola Airport,IL,Tuscola
4995,2CA2,Cones Field,CA,Twentynine Palms
4996,KT36,Paul Pittman Memorial Airport,MS,Tylertown
4997,18KS,Cherokee Strip,KS,Udall
4998,3KS9,Tri Rotor Airport,KS,Ulysses
4999,US-12654,A & C AG Aviation Inc,GA,Unadilla
5000,K35A,"Union County, Troy Shelton Field",SC,Union
5001,28OK,Pellar Farm Airport,OK,Union City
5002,K07A,Franklin Field,AL,Union Springs
5003,79N,Ridge Soaring Gliderport,PA,Unionville
5004,K43,Unionville Municipal Airport,MO,Unionville
5005,59PA,Erkes Airport,PA,Upper Black Eddy
5006,3KS5,High Point Airport,KS,Valley Center
5007,78OH,Valley City Flying Club Airport,OH,Valley City
5008,5XA1,LZ Juliet Bravo Airport,TX,Valley Mills
5009,FL34,Eglin Test Site B6 Airport,FL,Valparaiso
5010,MO5,Bollinger-Crass Memorial Airport,MO,Van Buren
5011,W56,Fly For Fun Airport,WA,Vancouver
5012,US-0368,Evergreen North-South Airpark,WA,Vancouver
5013,KEBD,Southern West Virginia Regional Airport,WV,Varney
5014,N17,Vaughn Municipal Airport,NM,Vaughn
5015,X52,New Hibiscus Airpark,FL,Vero Beach
5016,3VS,Roy Otten Memorial Airfield,MO,Versailles
5017,8I1,Robinson Airport,IN,Vevay
5018,MO84,Viburnum Airport,MO,Viburnum
5019,KN73,Red Lion Airport,NJ,Vincentown
5020,70KY,Vine Grove Airport,KY,Vine Grove
5021,42VA,Virginia Beach Airport,VA,Virginia Beach
5022,3XS5,Star Smith Field,TX,Von Ormy
5023,TA57,Texas Valley Air Field,TX,Waco
